"wage","female","age","educ","exper"
6.637499809,0,54,5,42
8.662500381,1,27,8,12
8.662500381,0,56,6,43
8.662500381,1,53,3,43
10.625,0,45,6,32
5.625,1,51,6,38
7.5,0,39,7,25
3.604651213,1,43,6,30
3.604651213,1,23,7,9
3.875,1,17,6,4
3.875,0,41,2,32
3.875,0,20,7,6
3.945652246,0,39,6,26
1.924999952,0,27,8,12
2.025000095,1,25,8,10
5.418749809,0,44,7,30
5.859375,1,22,10,5
4.331250191,0,20,7,6
1.774999976,1,26,6,13
8.34375,0,39,5,27
4.537499905,0,27,5,15
7.581250191,1,25,6,12
5.418749809,1,49,3,39
7.065217495,0,47,9,31
8.333333015,1,45,6,32
6.231249809,1,24,8,9
12.38586998,1,43,7,29
4.739583492,1,22,10,5
5.956250191,1,44,6,31
7.043749809,0,50,6,37
1.924999952,1,59,6,46
8.662500381,0,52,7,38
8.25,0,26,10,9
4.776315689,0,21,10,4
8.662500381,0,32,9,16
1.924999952,1,30,9,14
4.537499905,1,29,6,16
6.768750191,0,45,8,30
3.875,1,40,6,27
3.875,0,21,8,6
8.393750191,0,54,5,42
8.34375,0,41,5,29
5,0,59,4,48
3.75,1,27,7,13
8.125,1,25,10,8
3.75,0,20,6,7
11.25,0,42,8,27
23.5625,1,22,10,5
6.25,0,21,8,6
8.34375,0,49,5,37
7.25543499,0,17,5,5
4.537499905,1,23,10,6
7.5,0,29,1,21
5.956250191,1,25,4,14
3.287499905,0,34,4,23
3.787499905,1,29,5,17
3.787499905,1,25,8,10
3.912499905,1,21,6,8
36.28749847,0,37,7,23
3.287499905,0,21,10,4
0.125,0,27,6,14
4.59375,0,29,5,17
0.787500024,0,33,8,18
2.662499905,1,30,6,17
4.912499905,0,31,6,18
8.34375,1,32,5,20
8.34375,0,33,6,20
8.34375,0,30,6,17
7.84375,0,41,6,28
7.96875,1,41,6,28
7.96875,0,21,7,7
3.287499905,1,49,5,37
7.96875,1,26,5,14
7.96875,0,23,7,9
2.037499905,0,43,6,30
7.96875,1,22,5,10
7.84375,1,33,6,20
7.84375,0,39,6,26
6.96875,0,49,4,38
7.59375,1,44,7,30
7.71875,0,23,9,7
7.21875,0,41,7,27
7.84375,1,37,6,24
7.84375,0,27,7,13
7.71875,0,26,6,13
7.96875,1,25,5,13
7.662499905,0,29,6,16
6.01744175,0,38,8,23
7.286585331,0,32,7,18
4.875,0,34,7,20
4.387499809,1,32,5,20
5.143750191,1,30,6,17
4.537499905,0,21,7,7
6.231249809,1,29,8,14
3.532608747,0,25,8,10
5.768750191,1,39,5,27
6.09375,1,26,8,11
7.3125,0,53,6,40
6.849999905,0,48,5,36
4.66428566,1,48,5,36
4.0625,1,26,8,11
7.5,0,25,8,10
9.481249809,0,35,6,22
6.768750191,0,32,8,17
7.538043499,0,30,6,17
5.418749809,0,33,6,20
1.924999952,1,17,6,4
14.55978298,0,40,10,23
4.078947544,0,60,5,48
7.856249809,0,22,7,8
6.175000191,1,22,10,5
11.125,0,39,7,25
5.143750191,1,40,5,28
3.945652246,1,34,7,20
5.418749809,0,36,4,25
7.5,0,48,6,35
5.418749809,1,27,9,11
4.606249809,1,57,0,50
4.606249809,1,25,8,10
4.0625,0,29,5,17
4.331250191,1,22,7,8
5.418749809,0,53,1,45
3.193749905,1,47,7,33
5.418749809,0,24,7,10
8.125,0,24,8,9
5.3125,0,23,7,9
9.206250191,0,54,5,42
5.625,1,46,10,29
6.768750191,0,27,9,11
5.956250191,1,26,8,11
7.175000191,0,25,8,10
10.29374981,0,28,9,12
4.875,1,24,6,11
6.768750191,0,22,8,7
18.95624924,1,34,4,23
9.375,0,41,8,26
12.11785698,0,36,12,17
7.699999809,0,33,7,19
5.849999905,0,18,7,4
10.5,0,44,10,27
18.75,0,32,8,17
6.25,1,33,10,16
3.947674513,0,33,8,18
6.5,1,36,5,24
9.539772987,0,56,6,43
4.912499905,1,54,3,44
9.375,0,21,10,4
8.75,1,21,10,4
11.11111069,0,28,8,13
10.71428585,1,28,12,9
5.555555344,0,35,6,22
5.555555344,1,35,7,21
6.162499905,1,22,10,5
4.166666508,0,37,3,27
3.522222281,1,25,7,11
3.75,0,23,5,11
4.077777863,0,22,4,11
5.493750095,0,27,10,10
2.114583254,1,24,9,8
1.743749976,0,32,9,16
4.243750095,1,31,10,14
9.327777863,0,30,8,15
7.70714283,1,36,8,21
1.484042525,0,33,7,19
4.176056385,1,30,8,15
4.366666794,1,33,8,18
