"id","year","animal","place","state","numAttacks","Duration","Affected"
228,2018,"Squirrel","Owensboro","KY",1,0,0
229,2018,"Squirrel","Horsehead","NY",1,0,1000
230,2018,"Bird","Fermanagh",NA,1,0,60
231,2018,"Squirrel","Southington","OH",1,0,0
232,2018,"Squirrel","Sauk City","WI",1,0,0
233,2018,"Squirrel","Nashville","TN",1,0,50000
234,2018,"Bird","Ravenswood",NA,1,0,0
235,2018,"Squirrel","St. Charles","IL",1,38,65
236,2018,"Snake","Mumbai",NA,1,0,0
237,2018,"Rat","Pernon",NA,1,0,0
238,2018,"Squirrel","Martindale","WA",1,60,150
239,2018,"Bird","Quindalup","WA",1,0,0
240,2018,"Unknown","Cairns","QLD",1,0,0
241,2018,"Squirrel","San Jose","CA",1,180,33000
242,2018,"Squirrel","Redding","CA",1,0,2700
243,2018,"Bird","Sealy","TX",1,120,1500
244,2017,"Possum","Frenchs Forest","NSW",1,0,8000
245,2017,"Bird","Port of Spain",NA,1,25,0
246,2017,"Bird","Desert National Park","Rajasthan",1,0,0
247,2017,"Squirrel","Laurens","SC",1,0,981
248,2017,"Squirrel","Lafayette","AL",1,0,0
249,2017,"Squirrel","Cleveland","OH",1,0,0
250,2017,"Squirrel","Pasadena","CA",1,0,0
251,2017,"Squirrel","Menlo Park","CA",1,0,1
252,2017,"Squirrel","Edmond","OK",1,0,0
253,2017,"Bird","Vancouver","BC",1,0,1400
254,2017,"Squirrel","Portland","MN",1,0,95
255,2017,"Bird","Waterville","WA",1,0,200
256,2017,"Squirrel","Bryan","TX",1,0,0
257,2017,"Squirrel","Altus","OK",1,0,0
258,2017,"Bird","Butte","MT",1,60,8000
259,2017,"Squirrel","East Wenatchee","WA",1,0,950
260,2017,"Squirrel","Boonville","IN",1,0,543
261,2017,"Raccoon","Albuquerque","NM",1,0,9600
262,2017,"Bird","North Vancouver","BC",1,0,1000
263,2017,"Bird","Perth","WA",1,0,1100
264,2017,"Unknown","Beeton","ON",1,0,0
265,2017,"Bird","Punta Gorda","FL",1,0,0
266,2017,"Unknown","Worcester","MA",1,0,2000
267,2017,"Unknown","Cortland","OH",1,0,0
268,2017,"Squirrel","Johnston's Crossing","GA",1,0,0
269,2017,"Squirrel","Lawrence","KS",1,245,1780
270,2017,"Squirrel","Beeton","BC",1,0,565
271,2017,"Squirrel","Sea Girt","NJ",1,0,0
272,2017,"Unknown","Guelph","ON",1,0,0
273,2017,"Animal","Redmond","OR",1,60,5400
274,2017,"Bird","Motueka",NA,1,0,550
275,2017,"Squirrel","Bend","OR",1,210,140
276,2017,"Squirrel","Russell","KS",1,0,0
277,2017,"Squirrel","Maryville","MO",1,135,1100
