"name","city","business_postal_code","inspection_date","risk_category","isViolation","highRisk"
"BUCHANAN FOOD MART","San Francisco","94115","10/14/2016 12:00:00 AM","Low Risk",TRUE,FALSE
"Gaufre It!","San Francisco","94124","10/04/2017 12:00:00 AM",NA,FALSE,NA
"Mission Street Sports Bar SF","San Francisco","94110","10/01/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Jamba Juice","San Francisco","94132","05/10/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Rico Pan Bakery","San Francisco","94110","01/31/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Chef Li's Cafe","San Francisco","94134","09/18/2019 12:00:00 AM",NA,FALSE,NA
"The Plant Cafe Organic","San Francisco","94104","11/10/2016 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Udon Underground","San Francisco","94104","08/21/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Taqueria Los Amigos","San Francisco","94112","07/10/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Mid City Market","San Francisco","94109","04/26/2019 12:00:00 AM",NA,FALSE,NA
"Makaseru SF","San Francisco","94110","04/06/2017 12:00:00 AM",NA,FALSE,NA
"Coffeeshop - 3139 Mission","San Francisco","94110","04/30/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Roka Akor","San Francisco","94133","11/22/2016 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Noori","San Francisco","94122","01/23/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Soma Restaurant And Bar","San Francisco","94103","02/01/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Caffe Centro","San Francisco","94107","02/08/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Git Hub","San Francisco","94107","08/31/2018 12:00:00 AM",NA,FALSE,NA
"Freshroll","San Francisco","94104","12/12/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Padrecito","San Francisco","94117","06/06/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Taqueria ""Los Coyotes"" #2","San Francisco","94103","11/16/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"FACEBOOK, INC.","San Francisco","94105","07/30/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"The Bell","San Francisco","94109","02/28/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Mr. Holmes Bakehouse","San Francisco","94109","02/09/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Patxi's Chicago Pizza","San Francisco","94102","10/11/2016 12:00:00 AM","Low Risk",TRUE,FALSE
"Louie's","San Francisco","94105","07/08/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Toy Boat Dessert Cafe","San Francisco","94118","06/22/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"USA Power Market","San Francisco","94112","03/26/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Henry's Hunan Restaurant","San Francisco","94131","01/09/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"ONO HAWAIIAN BBQ","San Francisco","94132","04/11/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"City Taqueria","San Francisco","94115","06/24/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Subway Sandwiches","San Francisco","94102","09/19/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Kitchen Story Cafe","San Francisco","94114","08/21/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Cafe Mystique","San Francisco","94114","12/06/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Manna","San Francisco","94122","09/03/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Sun Rise Restaurant","San Francisco","94110","03/15/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Golden Wok","San Francisco","94132","07/20/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Indochine 508","San Francisco","94112","03/27/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Oscar Burger & Deli","San Francisco","94124","01/10/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"OBISPO","San Francisco","94110","07/23/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Burger King #4668","San Francisco","94110","05/18/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Diamond Cafe LLC","San Francisco","94114","07/16/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Pauline's Pizza","San Francisco","94103","03/21/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Alexander's Steakhouse","San Francisco","94107","03/12/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"The Bell","San Francisco","94109","02/28/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"The Mission Oyster Bar Seafood Rest. & Mkt.t","San Francisco","94110","05/16/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Cafe Bunn Mi","San Francisco","94118","05/22/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Palmyra","San Francisco","94117","05/14/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Mel's Drive-In","San Francisco","94103","03/08/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Coin-Op Game Room","San Francisco","94107","04/10/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Top Round Roast Beef","San Francisco","94110","03/20/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Ristorante Ti Piacera","San Francisco","94109","02/27/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"VILLAGE PIZZERIA","San Francisco","94109","08/26/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Foods Co #357","San Francisco","94103","04/25/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Halal Green Apple Market, Inc.","San Francisco","94109","03/20/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"PHILIPPINE DELICACIES","San Francisco","94112","01/09/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"CULINARY ARTS & HOSPITALITY","San Francisco","94112","05/01/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"House of Thai","San Francisco","94109","06/23/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Blue Bottle Cafe","San Francisco","94103","02/05/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"MONG THU COFFEE SHOP","San Francisco","94102","08/30/2017 12:00:00 AM",NA,FALSE,NA
"Angel's Market","San Francisco","94114","10/10/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Denny's Restaurant","San Francisco","94133","08/24/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Mensho Tokyo","San Francisco","94102","07/11/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"HAAGEN-DAZS #561","San Francisco","94103","08/22/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Tokyo Express Battery","San Francisco","94111","06/03/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Volcano Kitchen","San Francisco","94121","05/31/2018 12:00:00 AM",NA,FALSE,NA
"Spinnerie","San Francisco","94109","02/05/2018 12:00:00 AM","High Risk",TRUE,TRUE
"Radio Africa & Kitchen","San Francisco","94124","06/27/2018 12:00:00 AM","High Risk",TRUE,TRUE
"LELENITA'S CAKES","San Francisco","94110","04/02/2019 12:00:00 AM",NA,FALSE,NA
"Darioush Inc.","San Francisco","94133","04/10/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Courtney's Produce II","San Francisco","94114","04/12/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Sodexo America, LLC # 42422001","San Francisco","94105","12/31/2018 12:00:00 AM",NA,FALSE,NA
"Joe & The Juice Howard","San Francisco","94105","05/06/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"NKG Cafe","San Francisco","94134","09/26/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Lafayette Coffee Shop","San Francisco","94109","01/08/2019 12:00:00 AM",NA,FALSE,NA
"Palio D'Asti","San Francisco","94111","04/23/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"PEET'S COFFEE & TEA","San Francisco","94103","04/02/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"La Luna Cupcakes","San Francisco","94104","05/17/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Chantal Guillon","San Francisco","94103","02/07/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"HIEP-THANH MARKET","San Francisco","94109","08/22/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"LAGUNA","San Francisco","94102","02/28/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Hole in the Wall Coffee","San Francisco","94133","05/26/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"BULLSHEAD RESTAURANT","San Francisco","94127","11/15/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"BENDERS BAR & GRILL","San Francisco","94110","04/03/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Verve Coffee Roasters","San Francisco","94114","01/19/2018 12:00:00 AM",NA,FALSE,NA
"RITA'S CATERING TRUCK","San Francisco","94112","12/20/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Elsy's Restaurant","San Francisco","94110","08/23/2017 12:00:00 AM",NA,FALSE,NA
"Senor Sisig #1","San Francisco",NA,"10/22/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"LADLE AND LEAF","San Francisco","94104","04/19/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"HAPPY DONUTS","San Francisco","94114","12/12/2018 12:00:00 AM","High Risk",TRUE,TRUE
"Players","San Francisco","94133","06/11/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Kam Lok Restaurant","San Francisco","94108","01/07/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Mazzat","San Francisco","94102","03/28/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"An Chi Inc","San Francisco","94112","12/09/2016 12:00:00 AM",NA,FALSE,NA
"Canyon Market","San Francisco","94131","03/08/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Ziggy's Burger & Grill","San Francisco","94111","09/19/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Little Heaven Deli","San Francisco","94110","12/27/2017 12:00:00 AM",NA,FALSE,NA
"Hawaiian Drive Inn","San Francisco","94134","09/12/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Dolores Park Cafe","San Francisco","94110","06/21/2019 12:00:00 AM",NA,FALSE,NA
"FISTFUL OF TACOS","San Francisco","94105","08/20/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Oma Sushi","San Francisco","94102","10/03/2017 12:00:00 AM",NA,FALSE,NA
